TIENDA_ID,LATITUD_NUM,LONGITUD_NUM,estado,municipio,cp
1,26.00177,-98.24284,Tamaulipas,Reynosa,88795
2,26.04198,-98.3562,Tamaulipas,Reynosa,88736
3,26.02464,-98.26098,Tamaulipas,Reynosa,88778
4,26.04326,-98.23851,Tamaulipas,Reynosa,88780
5,26.06397,-98.26165,Tamaulipas,Reynosa,88680
6,26.02745,-98.35609,Tamaulipas,Reynosa,88736
7,26.08957,-98.33238,Tamaulipas,Reynosa,88655
8,26.04768,-98.2894,Tamaulipas,Reynosa,88755
9,26.01405,-98.39384,Tamaulipas,Reynosa,88733
11,26.00828,-98.40705,Tamaulipas,Reynosa,88733
12,25.99668,-98.26116,Tamaulipas,Reynosa,88799
13,25.98686,-98.09433,Tamaulipas,Río Bravo,88910
14,26.21178,-98.5901,Tamaulipas,Gustavo Díaz Ordaz,88405
15,26.04645,-98.32298,Tamaulipas,Reynosa,88754
16,26.02393,-98.34394,Tamaulipas,Reynosa,88736
17,26.05687,-98.36383,Tamaulipas,Reynosa,88730
18,26.05197,-98.28736,Tamaulipas,Reynosa,88760
19,25.9944,-98.11901,Tamaulipas,Río Bravo,88933
21,25.18824,-99.80819,Nuevo León,MONTEMORELOS ,67500
22,25.57557,-99.98963,Nuevo León,CADEREYTA JIMENEZ ,67484
23,24.88103,-99.58133,Nuevo León,LINARES ,67735
24,25.18881,-99.82257,Nuevo León,MONTEMORELOS ,67500
25,25.18958,-99.85066,Nuevo León,MONTEMORELOS ,67530
26,24.86496,-99.56645,Nuevo León,LINARES ,67700
27,25.18924,-99.8317,Nuevo León,MONTEMORELOS ,67500
28,25.57477,-99.97964,Nuevo León,CADEREYTA JIMENEZ ,67484
29,25.19407,-99.83954,Nuevo León,MONTEMORELOS ,67512
31,25.29708,-100.02935,Nuevo León,ALLENDE ,67350
32,25.66615,-100.13315,Nuevo León,JUAREZ ,67257
33,25.25546,-99.68657,Nuevo León,GRAL. TERAN ,67400
34,25.28155,-100.0205,Nuevo León,ALLENDE ,67350
35,24.8626,-99.57939,Nuevo León,LINARES ,67700
36,25.1755,-99.83795,Nuevo León,MONTEMORELOS ,67535
37,25.61395,-100.17367,Nuevo León,JUAREZ ,67286
38,25.6076,-99.64965,Nuevo León,LOS RAMONES ,66842
39,25.71129,-99.25392,Nuevo León,CHINA ,67050
41,25.45995,-99.99653,Nuevo León,CADEREYTA JIMENEZ ,67465
42,25.57826,-100.02549,Nuevo León,CADEREYTA JIMENEZ ,67485
43,25.61009,-100.15445,Nuevo León,JUAREZ ,67280
44,25.61295,-100.15086,Nuevo León,JUAREZ ,67280
