"tienda_id","plaza_cve","nivelsocioeconomico_des","entorno_des","mts2ventas_num","puertasrefrig_num","cajonesestacionamiento_num","segmento_maestro_desc","lid_ubicacion_tienda","dataset","meta_venta","porcentaje_cumplimiento","venta_promedio","dist_cerca","latitud_num","longitud_num","num_escuelas","num_abarrotes","num_super","num_farmacia","num_oficina","num_establecimientos","num_gasolinera","dist_se","exitoso"
126,1,"BC","Hogar",127.42,13,7,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,90.5,897943.461428571,336.957139869239,25.69107,-100.21261,1,3,1,0,0,87,4,553.73,0
681,1,"C","Hogar",128.13,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,95.2,875823.11,374.258629440817,25.73571,-100.18086,2,4,0,0,0,17,0,636.67,1
117,1,"C","Base",87.62,11,11,"Hogar Reunión","UT_DENSIDAD","TRAIN",480000,52.4,454438.265714286,188.022235518024,25.71883,-100.19133,7,9,0,1,0,105,0,58.68,0
682,1,"C","Hogar",90.7,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,945847.573809524,206.430487932503,25.66952,-100.20744,2,6,0,0,0,75,0,683.85,1
275,1,"C","Hogar",95.3,13,6,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,66.7,859411.378095238,430.405581510743,25.73766,-100.16116,9,5,0,1,0,103,0,782.2,0
684,1,"C","Base",116.07,13,7.28571428571429,"Oficinistas","UT_GAS_URBANA","TRAIN",480000,23.8,409774.891428571,279.478271271858,25.70486,-100.15613,0,2,0,0,0,25,1,637.3,0
694,1,"C","Receso",78.48,13,7.28571428571429,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN",516000,100,1229238.29285714,145.983273429841,25.67955,-100.24328,7,0,0,0,0,153,0,169.75,1
272,1,"C","Hogar",100.58,12,7,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,1518323.97714286,667.750742941749,25.70058,-100.2018,0,3,0,0,0,33,0,815.22,1
702,1,"C","Hogar",73.24,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,95.2,921464.206190476,313.826975903404,25.67344,-100.26084,9,8,0,1,0,220,0,163.77,1
704,1,"C","Base",107.23,13,9.00887573964497,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN",480000,95.2,1024033.43904762,464.044522429946,25.68419,-100.22138,1,11,0,0,0,130,0,339.27,1
