tienda_id,plaza_cve,nivelsocioeconomico_des,entorno_des,mts2ventas_num,puertasrefrig_num,cajonesestacionamiento_num,segmento_maestro_desc,lid_ubicacion_tienda,dataset,meta_venta,porcentaje_cumplimiento,venta_promedio,dist_cerca,latitud_num,longitud_num,num_escuelas,num_abarrotes,num_super,num_farmacia,num_oficina,num_establecimientos,num_gasolinera
126,1,BC,Hogar,127.42,13,7,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,90.5,897943.4614285715,336.9571398692394,25.69107,-100.21261,1,3,1,0,0,87,4
681,1,C,Hogar,128.13,13,9.00887573964497,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,95.2,875823.11,374.2586294408174,25.73571,-100.18086,2,4,0,0,0,17,0
117,1,C,Base,87.62,11,11,Hogar Reunión,UT_DENSIDAD,TRAIN,480000,52.4,454438.2657142857,188.02223551802413,25.71883,-100.19133,7,9,0,1,0,105,0
682,1,C,Hogar,90.7,13,9.00887573964497,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,100,945847.5738095238,206.43048793250324,25.66952,-100.20744,2,6,0,0,0,75,0
275,1,C,Hogar,95.3,13,6,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,66.7,859411.3780952381,430.4055815107426,25.73766,-100.16116,9,5,0,1,0,103,0
684,1,C,Base,116.07,13,7.285714285714286,Oficinistas,UT_GAS_URBANA,TRAIN,480000,23.8,409774.8914285714,279.4782712718582,25.70486,-100.15613,0,2,0,0,0,25,1
694,1,C,Receso,78.48,13,7.285714285714286,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,516000,100,1229238.2928571429,145.9832734298415,25.67955,-100.24328,7,0,0,0,0,153,0
272,1,C,Hogar,100.58,12,7,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,100,1518323.9771428572,667.7507429417491,25.70058,-100.2018,0,3,0,0,0,33,0
702,1,C,Hogar,73.24,13,9.00887573964497,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,95.2,921464.2061904762,313.8269759034041,25.67344,-100.26084,9,8,0,1,0,220,0
704,1,C,Base,107.23,13,9.00887573964497,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,480000,95.2,1024033.439047619,464.04452242994614,25.68419,-100.22138,1,11,0,0,0,130,0
125,1,BC,Hogar,141.9,10,6,Clásico,UT_TRAFICO_VEHICULAR,TRAIN,490000,100,1474221.5242857144,391.6583223387044,25.69017,-100.25164,10,0,1,2,1,298,1
279,1,C,Hogar,104.2,13,12,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,100,1141309.0261904763,508.2759771365761,25.67484,-100.24412,2,4,0,0,0,33,0
127,1,BC,Hogar,132,12,5,Hogar Reunión,UT_GAS_URBANA,TRAIN,490000,95.2,881887.7480952381,526.6949852705383,25.66474,-100.20913,0,16,0,1,0,221,1
706,1,C,Hogar,120.87,13,9.00887573964497,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,90.5,827266.5942857143,458.9172787502941,25.73785,-100.20217,1,1,0,0,1,25,0
129,1,BC,Base,83.99,13,10,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,480000,95.2,844267.0404761905,145.9832734298415,25.6808,-100.24372,9,3,0,0,0,155,0
268,1,C,Base,121.2,13,9,Clásico,UT_GAS_URBANA,TRAIN,480000,100,1343805.5966666667,177.49374997206579,25.69481,-100.23052,14,0,0,0,0,83,2
131,1,BC,Hogar,99.65,12,8,Clásico,UT_DENSIDAD,TRAIN,490000,95.2,863832.0780952381,363.24714613464226,25.64911,-100.26649,2,0,0,1,1,81,1
716,1,C,Hogar,121.21,13,9.00887573964497,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,100,1178213.279047619,942.9659028709068,25.7105,-100.21547,4,9,0,0,0,164,0
722,1,C,Base,118.3,13,7.285714285714286,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN,480000,95.2,1155877.1623809524,331.16433134186224,25.69569,-100.24609,3,7,0,0,0,98,0
726,1,C,Hogar,113.96,13,9.00887573964497,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,90.5,969842.8247619048,312.26798529294103,25.72278,-100.15421,0,5,0,0,0,34,0
135,1,BC,Hogar,124.5,12,7,Clásico,UT_DENSIDAD,TRAIN,490000,100,1799266.0514285713,389.1403118381484,25.69272,-100.25433,15,2,0,2,0,241,0
663,1,C,Base,115.76,13,9.00887573964497,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,480000,33.3,442602.9033333333,108.44714083419196,25.71882,-100.16863,1,5,0,1,0,57,1
639,1,C,Hogar,113.85,13,9.00887573964497,Hogar Reunión,UT_DENSIDAD,TRAIN,490000,100,1106255.616190476,325.563403225844,25.71143,-100.15224,4,18,0,0,0,121,0
642,1,C,Receso,88.39,13,7.285714285714286,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,516000,81,593718.9471428571,389.14955367252134,25.70438,-100.22197,3,2,0,0,0,59,0
299,1,C,Hogar,94,10,9,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,490000,95.2,881021.7323809523,127.91531563972836,25.68426,-100.21374,6,15,0,1,0,188,0
298,1,C,Peatonal,103.3,13,5,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,420000,100,942234.2338095239,266.986195234537,25.67933,-100.24593,8,5,1,0,0,145,0
644,1,C,Base,105.69,13,9.00887573964497,Hogar Reunión,UT_TRAFICO_PEATONAL,TRAIN,480000,85.7,602058.4266666666,279.4782712718582,25.7036,-100.15854,3,1,0,0,0,35,1
296,1,C,Hogar,86,13,5,Clásico,UT_GAS_URBANA,TRAIN,490000,100,1286958.867142857,598.0296395959388,25.66105,-100.25257,1,1,0,0,0,39,1
652,1,C,Base,113.23,14,8.91304347826087,Clásico,UT_TRAFICO_VEHICULAR,TRAIN,480000,95.2,762431.619047619,581.0467845288405,25.65635,-100.26234,3,1,0,0,0,100,0
653,1,C,Hogar,112.09,13,8.91304347826087,Clásico,UT_DENSIDAD,TRAIN,490000,90.5,697016.4647619048,540.7716933450021,25.69885,-100.12075,0,2,0,0,0,7,0
