"tiend_d","plaz_cv","nvlscc_","entrn_d","mts2vn_","prtsrf_","cjnsst_","sgmnt__","ld_bcc_","dataset","met_vnt","prcntj_","vnt_prm","dst_crc","nm_scls","nm_brrt","num_spr","nm_frmc","num_fcn","nm_stbl","nm_gsln","num_cmp","cvegeo","cve_ent","cve_mun","cve_agb","ambito","nom_ent","nom_mun","p6a11_n","p12a14n","p18ym_p","grapros","pocupad","pea","pder_ss","pobtot","p_18yms","p_18a24","p_60yms","pob0_14","pb15_64","pb65_ms","tothog","pobhog","vivtot","tvivhab","tvivpar","vvpr_hb","prom_cp","vph_ntr","lq_oxxo","lq_sevn","lq_brrt"
126,1,"BC","Hogar",127.42,13,7,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,90.5,897943.461428571,336.957139869239,1,3,1,0,0,87,4,0,"1902600010393","19","26","0393","Urbana","Nuevo León","Guadalupe",10,5,1774,10.29,2109,2158,3485,4293,3417,457,932,684,2936,671,1240,4293,1417,1240,1368,1191,3.46,950,1.31761984525804,0,0.999142544046907
126,1,"BC","Hogar",127.42,13,7,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,90.5,897943.461428571,336.957139869239,1,3,1,0,0,87,4,0,"1902600010393","19","26","0393","Urbana","Nuevo León","Guadalupe",10,5,1774,10.29,2109,2158,3485,4293,3417,457,932,684,2936,671,1240,4293,1417,1240,1368,1191,3.46,950,0.596041666666667,2.861,1.00151691948658
681,1,"C","Hogar",128.13,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,95.2,875823.11,374.258629440817,2,4,0,0,0,17,0,0,"1900600012274","19","6","2274","Urbana","Nuevo León","Apodaca",40,29,3297,13.55,2956,3017,5110,5782,3882,553,191,1664,3999,117,1703,5782,1980,1703,1897,1620,3.4,1539,2.3467365967366,0,0.805944972314613
117,1,"C","Base",87.62,11,11,"Hogar Reunión","UT_DENSIDAD","TRAIN",480000,52.4,454438.265714286,188.022235518024,7,9,0,1,0,106,0,1,"1902600011847","19","26","1847","Urbana","Nuevo León","Guadalupe",10,6,2280,11.54,2371,2432,3690,4488,3376,623,407,895,3382,209,1343,4488,1521,1343,1497,1319,3.34,1125,0.628864017054972,2.01034440793477,1.00982856056078
117,1,"C","Base",87.62,11,11,"Hogar Reunión","UT_DENSIDAD","TRAIN",480000,52.4,454438.265714286,188.022235518024,7,9,0,1,0,106,0,1,"1902600011847","19","26","1847","Urbana","Nuevo León","Guadalupe",10,6,2280,11.54,2371,2432,3690,4488,3376,623,407,895,3382,209,1343,4488,1521,1343,1497,1319,3.34,1125,0.627412280701754,0,1.05422833630166
682,1,"C","Hogar",90.7,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,945847.573809524,206.430487932503,2,6,0,0,0,75,0,0,"1902600011457","19","26","1457","Urbana","Nuevo León","Guadalupe",3,6,849,10.47,1140,1159,1912,2279,1844,283,466,343,1633,303,696,2272,806,697,800,691,3.26,516,1.45631667107467,0,0.97439597948847
682,1,"C","Hogar",90.7,13,9.00887573964497,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,100,945847.573809524,206.430487932503,2,6,0,0,0,75,0,0,"1902600011457","19","26","1457","Urbana","Nuevo León","Guadalupe",3,6,849,10.47,1140,1159,1912,2279,1844,283,466,343,1633,303,696,2272,806,697,800,691,3.26,516,0.745052083333333,0,1.04324679113186
275,1,"C","Hogar",95.3,13,6,"Hogar Reunión","UT_DENSIDAD","TRAIN",490000,66.7,859411.378095238,430.405581510743,9,5,0,1,0,103,0,0,"1900600011632","19","6","1632","Urbana","Nuevo León","Apodaca",21,11,2265,10.92,2795,2854,5067,5931,3871,849,161,1569,4261,101,1557,5931,1755,1557,1686,1488,3.81,1319,1.61338141025641,0,0.949863717370794
684,1,"C","Base",116.07,13,7.28571428571429,"Oficinistas","UT_GAS_URBANA","TRAIN",480000,23.8,409774.891428571,279.478271271858,0,2,0,0,0,25,1,0,"1902600012883","19","26","2883","Urbana","Nuevo León","Guadalupe",4,0,1711,14.47,1562,1572,2439,2693,1898,178,65,719,1939,35,905,2693,1369,905,1333,869,2.98,840,4.7890413606494,1.70106065286788,0.284823440158168
694,1,"C","Receso",78.48,13,7.28571428571429,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN",516000,100,1229238.29285714,145.983273429841,7,0,0,0,0,155,0,2,"1902600011419","19","26","1419","Urbana","Nuevo León","Guadalupe",5,0,1613,12.08,1334,1370,2344,2833,2337,326,728,388,1914,531,864,2833,950,864,920,834,3.28,735,2.82988807674737,4.02068881586954,0.504914280280389
